Date,Price,Open,High,Low,Vol.,Change %
1/5/2020,7587.85,"7,622.40","7,631.96","7,524.96",2.94B,-0.45%
1/12/2020,7674.56,"7,587.85","7,689.67","7,582.51",3.29B,1.14%
01/19/2020,7585.98,"7,674.56","7,682.77","7,503.17",2.89B,-1.15%
01/26/2020,7286.01,"7,585.98","7,585.98","7,275.03",3.13B,-3.95%
2/2/2020,7466.7,"7,286.01","7,533.57","7,285.16",3.54B,2.48%
2/9/2020,7409.13,"7,466.70","7,547.65","7,403.69",3.32B,-0.77%
02/16/2020,7403.92,"7,409.13","7,480.49","7,353.41",3.44B,-0.07%
02/23/2020,6580.61,"7,403.92","7,403.92","6,460.08",6.24B,-11.12%
3/1/2020,6462.55,"6,580.61","6,856.27","6,431.44",6.67B,-1.79%
3/8/2020,5366.11,"6,462.55","6,462.55","5,237.48",9.48B,-16.97%
03/15/2020,5190.78,"5,366.11","5,419.30","4,898.79",10.44B,-3.27%
03/22/2020,5510.33,"5,190.78","5,815.73","4,922.76",8.06B,6.16%
03/29/2020,5415.5,"5,510.33","5,702.66","5,351.84",7.14B,-1.72%
4/5/2020,5842.66,"5,415.50","5,842.66","5,415.50",5.16B,7.89%
4/12/2020,5786.96,"5,842.66","5,894.71","5,576.35",4.71B,-0.95%
04/19/2020,5752.23,"5,786.96","5,843.61","5,641.03",4.27B,-0.60%
04/26/2020,5763.06,"5,752.23","6,151.58","5,746.06",5.99B,0.19%
5/3/2020,5935.98,"5,763.06","5,941.86","5,702.03",3.95B,3.00%
5/10/2020,5799.77,"5,935.98","6,012.98","5,661.14",5.12B,-2.29%
05/17/2020,5993.28,"5,799.77","6,111.96","5,799.61",4.86B,3.34%
05/24/2020,6076.6,"5,993.28","6,234.04","5,993.28",6.24B,1.39%
05/31/2020,6484.3,"6,076.60","6,489.99","6,076.60",5.60B,6.71%
6/7/2020,6105.18,"6,484.30","6,511.84","5,993.20",5.88B,-5.85%
06/14/2020,6292.6,"6,105.18","6,319.81","5,952.44",5.19B,3.07%
06/21/2020,6159.3,"6,292.60","6,342.19","6,029.25",3.72B,-2.12%
06/28/2020,6157.3,"6,159.30","6,262.71","6,084.48",3.58B,-0.03%
7/5/2020,6095.41,"6,157.30","6,304.19","6,003.19",3.28B,-1.01%
7/12/2020,6290.3,"6,095.41","6,323.55","6,093.23",3.28B,3.20%
07/19/2020,6123.82,"6,290.30","6,315.68","6,099.06",3.28B,-2.65%
07/26/2020,5897.76,"6,123.82","6,155.06","5,897.76",4.27B,-3.69%
8/2/2020,6032.18,"5,897.76","6,111.50","5,857.06",3.60B,2.28%
8/9/2020,6090.04,"6,032.18","6,297.20","6,028.49",3.03B,0.96%
08/16/2020,6001.89,"6,090.04","6,162.66","5,948.80",2.48B,-1.45%
08/23/2020,5963.57,"6,001.89","6,173.48","5,962.46",2.81B,-0.64%
08/30/2020,5799.08,"5,963.57","5,996.24","5,778.40",3.08B,-2.76%
9/6/2020,6032.09,"5,799.08","6,057.69","5,798.47",3.09B,4.02%
09/13/2020,6007.05,"6,032.09","6,123.69","5,998.69",4.22B,-0.42%
09/20/2020,5842.67,"6,007.05","6,007.05","5,771.49",3.98B,-2.74%
09/27/2020,5902.12,"5,842.67","5,954.42","5,809.61",3.86B,1.02%
10/4/2020,6016.65,"5,902.12","6,040.47","5,902.12",3.73B,1.94%
10/11/2020,5919.58,"6,016.65","6,037.08","5,786.20",3.34B,-1.61%
10/18/2020,5860.28,"5,919.58","5,959.67","5,716.40",3.25B,-1.00%
10/25/2020,5577.27,"5,860.28","5,868.36","5,525.52",4.52B,-4.83%
11/1/2020,5910.02,"5,577.27","5,950.22","5,554.73",4.09B,5.97%
11/8/2020,6316.39,"5,910.02","6,397.28","5,910.02",7.04B,6.88%
11/15/2020,6351.45,"6,316.39","6,463.51","6,308.99",5.24B,0.56%
11/22/2020,6367.58,"6,351.45","6,468.73","6,302.22",5.55B,0.25%
11/29/2020,6550.23,"6,367.58","6,559.18","6,263.60",5.15B,2.87%
12/6/2020,6546.75,"6,550.23","6,640.74","6,518.37",4.75B,-0.05%
