Date,Price,Open,High,Low,Vol.,Change %
1/5/2020,340.38,335.91,340.38,335.91,,0.74%
1/12/2020,342.86,340.07,342.86,339.98,,0.73%
01/19/2020,340.21,342.72,342.72,339.47,,-0.77%
01/26/2020,330.59,340.22,340.22,330.59,,-2.83%
2/2/2020,332.16,326.06,336.87,326.06,,0.47%
2/9/2020,336.05,329.88,336.56,329.88,,1.17%
02/16/2020,331.28,334.85,334.92,331.28,,-1.42%
02/23/2020,314.46,327.47,329.14,314.46,,-5.08%
3/1/2020,311.26,314.91,318.15,311.26,,-1.02%
3/8/2020,273.55,292.31,298.64,273.55,,-12.12%
03/15/2020,246.55,258.65,258.65,238.52,,-9.87%
03/22/2020,262.03,228.77,262.03,228.77,,6.28%
03/29/2020,244.94,250.62,256.51,244.94,,-6.52%
4/5/2020,265.2,253.32,265.2,253.32,,8.27%
4/12/2020,268.77,264.93,271.74,264.93,,1.35%
04/19/2020,260.22,268.38,268.38,260.22,,-3.18%
04/26/2020,275.33,264.83,275.33,264.83,,5.81%
5/3/2020,270.56,267.68,270.87,267.68,,-1.73%
5/10/2020,263.68,273.4,273.4,263.43,,-2.54%
05/17/2020,263.8,265.67,270.8,263.8,,0.05%
05/24/2020,266.42,263.8,267.96,263.8,,0.99%
05/31/2020,290.54,269.79,290.54,269.79,,9.05%
6/7/2020,283.28,295.52,295.94,283.28,,-2.50%
06/14/2020,278.04,275.76,282.31,275.76,,-1.85%
06/21/2020,274.97,276.96,278.45,273.17,,-1.10%
06/28/2020,280.64,271.33,280.64,271.33,,2.06%
7/5/2020,280.48,284.4,284.4,280.48,,-0.06%
7/12/2020,277.39,278.63,281,277.39,,-1.10%
07/19/2020,273.87,277.46,279.19,273.87,,-1.27%
07/26/2020,267.41,273.6,273.88,267.41,,-2.36%
8/2/2020,269.59,263.74,271.3,263.74,,0.82%
8/9/2020,274.22,269.59,275.3,269.43,,1.72%
08/16/2020,267.61,272.78,272.78,267.61,,-2.41%
08/23/2020,268.56,268.11,270.55,266.14,,0.35%
08/30/2020,265.93,268.05,269.2,265.93,,-0.98%
9/6/2020,264.42,266.39,266.39,264.41,,-0.57%
09/13/2020,264.88,263.75,265.27,263.75,,0.17%
09/20/2020,261.65,263.09,263.09,259.65,,-1.22%
09/27/2020,264.64,263.02,265.19,261.44,,1.14%
10/4/2020,267.49,266.01,268.19,266.01,,1.08%
10/11/2020,268.52,269.75,271.88,267.2,,0.39%
10/18/2020,267.29,269.06,269.06,266.65,,-0.46%
10/25/2020,253.63,264.76,264.76,253.63,,-5.11%
11/1/2020,269.94,254.87,271.04,254.87,,6.43%
11/8/2020,281.62,273.39,282.18,273.39,,4.33%
11/15/2020,292.53,285.8,292.53,285.8,,3.87%
11/22/2020,298.94,296.48,301.71,296.48,,2.19%
11/29/2020,296.27,293.38,296.27,292.96,,-0.89%
12/6/2020,292.99,294.21,295.53,292.99,,-1.11%
12/13/2020,297.28,297.63,299.62,296.86,,1.46%
12/20/2020,296.26,296.41,296.41,294.64,,-0.34%
12/27/2020,296.7,296.32,299.12,296.32,,0.15%
1/3/2021,312.41,298.84,312.41,298.23,,5.29%
1/10/2021,313.31,310.68,313.31,309.89,,0.29%
01/17/2021,310.63,311.84,313.87,310.63,,-0.86%
01/24/2021,300.83,308.68,308.68,300.83,,-3.15%
01/31/2021,301.25,300.35,303.19,300.35,,0.14%
2/7/2021,305.01,304.47,305.6,304.47,,1.25%
02/14/2021,302.11,305.71,306.51,302.11,,-0.95%
02/21/2021,308.21,302.2,310.82,302.2,,2.02%
02/28/2021,314.06,310.74,314.14,309.86,,1.90%
3/7/2021,317.39,315.85,318.52,315.41,,1.06%
03/14/2021,321.67,318.82,321.9,318.73,,1.35%
03/21/2021,325.13,320.84,325.13,320.84,,1.08%
03/28/2021,328.16,326.67,328.46,326.16,,0.93%
4/4/2021,329.49,331.2,331.42,329.32,,0.41%
4/11/2021,331.95,328.04,331.95,328.04,,0.75%
04/18/2021,330.53,332.97,332.97,326.71,,-0.43%
04/25/2021,333.31,332.2,333.82,332.2,,0.84%
5/2/2021,330.23,329.23,330.23,325.99,,-0.92%
5/9/2021,315.05,328.43,328.43,315.05,,-4.60%
05/16/2021,321.91,317.97,324.74,317.97,,2.18%
05/23/2021,328.63,322.81,328.63,322.81,,2.09%
05/30/2021,326.39,327.24,330.1,326.39,,-0.68%
6/6/2021,327.85,329.13,329.13,327.43,,0.45%
06/13/2021,324.36,327.02,329.55,324.36,,-1.06%
06/20/2021,322.31,322.27,322.51,321.56,,-0.63%
06/27/2021,323.3,323.21,323.3,319.11,,0.31%
7/4/2021,323.49,324.48,330.09,320.39,,0.06%
7/11/2021,326.11,325.38,327.8,324.85,,0.81%
07/18/2021,326.25,322,326.68,322,,0.04%
07/25/2021,329.4,324.73,330.11,324.73,,0.97%
8/1/2021,330.79,328.64,331.32,327.6,,0.42%
8/8/2021,329.93,330.8,334.17,329.93,,-0.26%
08/15/2021,323.53,327.88,327.88,322.05,,-1.94%
08/22/2021,320.41,321.95,323.47,320.41,,-0.96%
08/29/2021,321.17,322.78,322.78,318.35,,0.24%
9/5/2021,322.22,323.39,323.39,318.95,,0.33%
9/12/2021,320.77,319.76,320.85,318.76,,-0.45%
09/19/2021,319.98,317.77,321.6,317.77,,-0.25%
09/26/2021,318.49,324.01,324.01,318.49,,-0.47%
10/3/2021,324.26,322.25,324.26,319.95,,1.81%
10/10/2021,330.29,324.5,330.29,324.1,,1.86%
10/17/2021,332.84,330.01,332.84,330.01,,0.77%
10/24/2021,331.43,332.76,333.74,331.43,,-0.42%
10/31/2021,335.9,333.94,335.9,333.94,,1.35%
11/7/2021,335.13,338.34,338.34,335.02,,-0.23%
11/14/2021,335.14,336.37,336.37,335.03,,0.00%
11/21/2021,328.88,335.5,335.5,328.88,,-1.87%
11/28/2021,322.44,323.85,323.85,316.19,,-1.96%
12/5/2021,326.64,324.35,327.49,324.35,,1.30%
12/12/2021,324.89,325.02,326.51,324.68,,-0.54%
12/19/2021,324.49,321.01,324.49,321.01,,-0.12%
12/26/2021,326.69,324.17,327.9,324.17,,0.68%
1/2/2022,333.98,327.74,333.98,327.74,,2.23%
1/9/2022,342.57,336.62,342.57,336.62,,2.57%
01/16/2022,343.57,343.26,343.81,342.37,,0.29%
01/23/2022,337.94,342.24,342.24,337.94,,-1.64%
01/30/2022,347.13,338.61,347.13,338.6,,2.72%
2/6/2022,357.93,350.63,357.93,350.63,,3.11%
02/13/2022,357.54,356.66,358.73,356.66,,-0.11%
02/20/2022,343.17,358.39,358.39,341.39,,-4.02%
02/27/2022,337.12,337.97,341.83,337.12,,-1.76%
3/6/2022,341.31,333.52,341.31,329.7,,1.24%
03/13/2022,350.09,339.43,350.09,339.43,,2.57%
03/20/2022,358.44,353.3,358.44,353.17,,2.39%
03/27/2022,359.16,360.87,362,359.01,,0.20%
4/3/2022,355.48,358.98,361.94,355.48,,-1.02%
4/10/2022,351.08,353.43,353.43,350.09,,-1.24%
04/17/2022,354.56,347.96,354.56,347.96,,0.99%
04/24/2022,355.11,352.47,355.11,351.05,,0.16%
5/1/2022,347.23,355.12,355.12,347.23,,-2.22%
5/8/2022,336.16,345.07,345.07,333.7,,-3.19%
05/15/2022,340.16,336.16,340.16,335.45,,1.19%
05/22/2022,338.75,337.57,338.75,334.2,,-0.41%
05/29/2022,338.37,339.61,339.66,338.2,,-0.11%
6/5/2022,333.1,338.01,338.18,333.1,,-1.56%
6/12/2022,326.04,329.07,329.07,325.45,,-2.12%
06/19/2022,326.69,325.5,327.85,324.64,,0.20%
06/26/2022,324.41,329.3,329.6,324.41,,-0.70%
7/3/2022,328.71,326.98,328.71,325.36,,1.33%
7/10/2022,325.04,328.72,330.04,324.56,,-1.12%
07/17/2022,333.69,327.62,333.69,326.97,,2.66%
07/24/2022,337.43,334.06,338.75,334.06,,1.12%
07/31/2022,344.98,340.08,344.98,339.38,,2.24%
8/7/2022,344.42,343.81,346.75,343.81,,-0.16%
08/14/2022,341.3,343.16,344.52,341.3,,-0.91%
08/21/2022,341.73,342.7,342.7,339.79,,0.13%
08/28/2022,336.1,338.49,340.53,336.1,,-1.65%
9/4/2022,342.24,337.29,342.24,336.62,,1.83%
9/11/2022,342.09,343.58,345.24,341.74,,-0.04%
09/18/2022,336.97,340.83,341.98,336.97,,-1.50%
09/25/2022,328.15,332.5,332.5,325.13,,-2.62%
10/2/2022,328.73,324.59,329.67,324.59,,0.18%
10/9/2022,317.66,324.62,324.62,317.66,,-3.37%
10/16/2022,310.69,315.11,316.72,310.69,,-2.19%
10/23/2022,322.15,310.69,322.15,310.69,,3.69%
10/30/2022,325.93,325.93,325.93,325.93,,1.17%
