,Singapore,United Kingdom,United States
01/2020,2.2 ,3.9 ,3.5 
02/2020,2.3 ,4.0 ,3.5 
03/2020,2.4 ,4.0 ,4.4 
04/2020,2.6 ,4.1 ,14.7 
05/2020,2.8 ,4.1 ,13.2 
06/2020,2.9 ,4.1 ,11.0 
07/2020,3.1 ,4.3 ,10.2 
08/2020,3.3 ,4.6 ,8.4 
09/2020,3.4 ,4.9 ,7.9 
10/2020,3.6 ,5.1 ,6.9 
11/2020,3.4 ,5.1 ,6.7 
12/2020,3.2 ,5.2 ,6.7 
01/2021,3.1 ,5.1 ,6.4 
02/2021,3.0 ,5.1 ,6.2 
03/2021,2.9 ,4.9 ,6.0 
04/2021,2.8 ,4.9 ,6.0 
05/2021,2.8 ,4.9 ,5.8 
06/2021,2.7 ,4.7 ,5.9 
07/2021,2.8 ,4.6 ,5.4 
08/2021,2.7 ,4.4 ,5.2 
09/2021,2.6 ,4.3 ,4.7 
10/2021,2.6 ,4.2 ,4.6 
11/2021,2.5 ,4.1 ,4.2 
12/2021,2.4 ,4.0 ,3.9 
01/2022,2.3 ,4.0 ,4.0 
02/2022,2.1 ,3.8 ,3.8 
03/2022,2.2 ,3.7 ,3.6 
04/2022,2.2 ,3.8 ,3.6 
05/2022,2.2 ,3.8 ,3.6 
06/2022,2.1 ,3.8 ,3.6 
07/2022,2.1 ,3.6 ,3.5 
08/2022,1.9,3.5 ,3.7
